"","N.C.1","N.C.2","N.C.3","N.C.4","N.SP3.1","N.SP3.2","N.SP3.3","N.SP3.4","E.C.1","E.C.2","E.C.3","E.C.4","E.SP3.1","E.SP3.2","E.SP3.3","E.SP3.4"
"17534665",6.10920039131501,6.33918609769496,6.65374226889698,6.59874129850079,6.26361413962569,6.48171082720852,6.11151916564557,6.11302250662843,6.85896824727064,7.02998516674258,5.29436455406552,6.64038235933564,6.56617265737457,6.48697654918181,6.04706020884424,6.07227264272224
"17450937",2.59168719512903,2.26840027374885,2.3502045892304,2.33117230355459,2.89412180559236,1.77873069464659,1.36495383698861,1.35042654881142,2.2553428183347,2.18363904956802,2.25199329509354,2.40131582227605,1.82553315357043,3.19074725512858,1.20399587607597,1.88410276485596
"17499748",1.59310750865406,1.06709054632822,1.25124134764822,1.12624409857241,1.10534577320008,1.04748795327191,1.14240563805786,1.10898620053383,1.50695429548303,1.14240563805786,2.37946606281799,0.980222474886246,1.78715408892275,1.02746196264015,1.47076001595509,1.13884998270149
"17499753",2.90256209060224,2.75988344266128,2.62208935913273,1.41777482404721,2.38862538903229,2.58302474518134,1.9326866593223,1.97782772200088,3.01261729873395,1.80006623057253,2.64083052296583,2.14484361340563,2.4164116020707,2.82496552403906,3.06316134035691,2.88333942441792
"17293489",3.80411127664801,3.61866091214489,3.62326440501111,3.46776166452385,4.12918670095046,4.06620915777912,3.0798035091009,3.85789713526819,3.76597222626607,3.39440416269348,4.69210602855679,3.15491998165718,3.36303126964498,3.64841365080342,3.26098922047432,3.85714366270086
"17260306",2.22375474514627,3.41821262473934,2.55479675669194,2.20674576199547,1.75176044360394,2.66706310946589,3.07449552765843,2.68791693861381,3.03232102956218,3.04352085815173,1.71819643550302,2.70447694872177,3.07207465734176,2.60182057361653,3.23718700847947,3.40603593451487
"17273047",1.71844163460153,1.80356290294558,1.29940261843695,1.42859551823635,1.45769279430469,1.85886844551711,1.64535030600563,1.2884495863743,1.53716956441378,1.25188066681922,1.86710363550375,1.37465901621803,1.44972738974715,1.73146730411389,1.07226093742457,1.46409104063247
"17300195",4.41603977689555,4.02205373160282,3.12718621492028,3.38740846624597,3.79192580623788,4.08929493513959,4.26691347950232,3.35021364044622,3.42112718644919,3.59753315301946,4.73600028521954,3.40852906084224,3.91130396503796,4.41220016517477,3.35691989823809,3.67104102317439
"17486549",3.55412229470529,3.01262366094559,1.93943961737754,2.50569978716595,2.5459078086322,2.92569766037113,3.13117024328197,2.16983497210191,3.05628283515249,1.9851211758139,2.64374817888334,2.84151502688777,2.72464960610444,3.6300271433616,2.88364245869092,2.90111786763338
"17454789",3.0953693956263,2.51287866656506,2.92812450977108,3.19388435221582,3.39994721645296,3.17183616687834,3.47677834179614,3.36183740837709,2.95500456713945,2.95371573914141,3.89673298216445,3.11971886880385,3.2229948623047,3.25287058131008,3.42552090915115,3.0774283529814
"17291901",2.13583913907205,2.32608116349244,2.13504908525487,1.8687582120896,2.48849020965498,2.52807070991954,2.3165981708937,2.76538207352126,2.05749079160308,2.08317448597074,1.88245048666521,2.32977476449309,2.51387559164114,3.29850596416627,2.49382468756149,2.75355194327602
"17486261",0.888668401009895,0.459326915827585,1.6532483623363,1.26959721938634,0.765184428525342,2.17464171675052,1.97084861301058,1.17249327096116,1.3773602324224,1.16502668196943,2.39717022192966,1.15786332380155,1.5623850897316,1.09873401749086,1.55571126028629,1.41387633953205
"17370941",2.88146709693776,3.23904191472866,3.04315881333211,3.13020383033376,2.30802112835993,2.86326875186131,2.63902254675239,2.74643498085836,2.77693137674284,3.19852448251596,2.27146035216406,2.96685442730191,2.8892425169129,2.61268900321227,2.86436817492808,3.2871096346239
"17329149",1.87948663131579,1.77277487656194,2.43414283495535,2.24985265463444,2.19179210769386,2.16390825676064,2.51245423062182,2.29601844311731,2.17281009798581,2.73807374573134,1.9053768874524,1.64524192330059,2.15775336741005,2.70549630231902,2.34584013405615,2.27469621417625
"17540325",1.58715765156348,2.25532722041083,3.27112637024871,2.40766199735477,2.55463477347391,2.83295138733759,2.66162352821213,3.06627305894247,3.1338220830137,2.58960295796263,2.27230688785501,2.76693697059659,2.50937959981315,2.82324405405877,2.99012694386143,3.31395784036709
"17279749",3.45222772288854,3.01700532237288,3.60946611150172,3.71106491084305,2.60169361931767,3.08772371973866,3.1377440654154,3.18242283205805,3.57538033806106,3.20664037147334,2.83393664130892,3.04991456224784,2.27899897231812,2.56353157359964,3.04976232119088,3.29320396080889
"17496863",3.46858481504268,4.07236604536842,3.58730842377802,3.7079733247865,3.91603667741737,3.47343837099873,3.89367582280971,4.55390466888785,3.23296283114532,3.19404411307288,3.84643136429288,3.36289958470651,3.64421238156285,3.88417844811888,4.88400475009779,4.62764265948691
"17308669",4.28358105313807,3.902504059249,4.16225330323515,4.06039403165476,4.75709419181862,4.98033922339585,5.20098979084505,4.82534931884456,4.58975792815275,4.43706441941174,5.29595681725283,4.55661708851558,4.66109628828758,4.60819157999579,4.46462363535516,4.44178735274605
"17484221",1.26224706461464,1.42165236858748,1.80482272430717,1.38740667148067,1.42820353150015,1.95502607843779,1.95914435380858,1.35843121987031,1.88421542807648,1.18062793913163,1.77206218298587,1.57732268724481,1.34825209206198,1.86179282798873,1.73185626964454,1.56877095136435
"17299849",2.37356604342227,2.47049644315141,2.25556514740963,1.89438868741786,2.532955377889,2.20485119508767,2.13753378727713,2.11822308761212,1.96617277620132,2.4328570043616,2.31844848891935,1.80876681611245,2.40139172988894,2.64128239444012,1.8794827497399,2.28067060603413
"17274484",2.02494940193625,1.63542462866257,1.45092942867486,1.6555108737513,2.03373969724383,2.10790500633578,1.9683115967537,1.8651580635719,1.57307056032259,1.44847392199036,2.04383562936758,1.51402088417322,1.72680693138844,1.53874759576462,2.10828909653256,1.45236431023939
"17336077",4.57385955742684,4.26344331915468,4.92795328117427,4.15194709280846,4.258376722864,5.12801509610097,4.01117495934894,4.165263322338,4.59026263016773,4.27057159517336,3.85552414936402,4.55656832774997,4.87549648257247,4.057460632722,3.55589105366487,4.07973970510854
"17324249",4.28559415923115,4.59980644221084,4.94030885347512,4.65519269524731,4.07956705655172,4.26533944176343,4.07897948654285,3.89128874699125,4.68432190682667,4.55801734815686,4.08657671944986,4.32265013252207,3.76466624885464,4.04875218187938,3.80889512191107,4.17935317947833
"17498057",2.79267465799864,2.60519762014459,1.2160612169683,2.12246059523987,1.78705501586074,2.23822116826579,2.04737366981828,2.08802988403643,1.38744898190506,1.89442938912174,2.5378846448803,2.10973448937909,1.75762778720293,2.33008104302008,2.08527688756925,2.02574202758436
"17487635",2.09714520423064,1.11651665334009,1.32360929064665,1.04756309656223,1.19953836950165,1.57248975964996,1.51883080750209,1.44728646152208,1.27311068660232,0.838438427167398,1.02433384131083,0.781141931032591,0.967287325304798,2.65181228855473,2.96686702534699,1.20766849986275
"17484061",1.53574391200243,2.01409381937311,1.56562106591689,1.53090381933695,2.4341172218345,2.41505594247701,3.17460148546029,2.75339768965076,1.73439015474881,1.5010266654225,1.90883454842097,1.50073665834681,2.58878401659489,1.85387607296345,2.05750128725449,2.36701742740776
"17375981",4.1895056459748,4.08193674732505,3.97469404130542,3.95203776763545,4.46314308794957,4.32303102294822,4.52096213690698,4.62747503307668,4.20053471885717,3.96790807950962,4.79956266039173,4.26790050200398,4.33115158739573,5.0367371337539,4.70673545466778,4.5285885592164
"17380370",3.09967787993564,3.18545377233373,2.28930155200681,2.87423629438501,3.16107612740531,2.78697636702972,2.55539424536564,2.3316336444504,2.40655776026098,2.62665282979008,2.96629809461381,2.20824653340623,2.39822885827399,2.97659250898254,2.40552137496819,2.43190439852251
"17391781",1.57357073028907,1.66580326747548,0.923344966359373,1.33063453665296,0.940292137530268,1.08938061144023,1.50456277934898,1.6640106528484,1.06212520961597,0.90318569297484,1.21801751897927,1.34759332093214,1.2616896859136,0.965014553797453,0.914253618335635,1.11497428517082
"17392549",1.72489663081869,1.92479823021689,1.80735551315154,2.00740120709618,2.09710696742379,1.81644715510128,2.31794230490248,2.19175644215484,1.67935890029842,2.19968930495566,2.71167711747474,1.75987217013776,1.9796870303872,2.31482014858927,1.7573265166964,2.04955089152041
"17340427",2.39438951898456,2.45402821340345,2.6144543633639,3.13369497733859,2.37186863992857,1.93665575546835,2.19188774533517,1.84916077046202,2.25937946474791,3.2546221797422,2.03212474407475,3.16129200636469,1.99848831878282,2.96142053935853,2.41985303943938,1.91958441607586
"17222601",2.66051931485818,2.28467149752793,2.14066656004996,2.66035234614057,2.81749357838484,2.53637917542562,2.43361031297856,2.16144097620474,2.38880524406599,2.21872169415552,2.72401124936364,2.26112082962514,2.39850581626936,2.74356359183094,2.74661349256468,2.67530770734036
"17517270",1.18148596840318,0.940291861482057,1.37045436773803,1.35170483203975,1.19747588040001,1.56059754002418,1.1932091884695,1.5134681874193,1.67264339878032,1.43088717265596,1.86202147358846,1.61178234188709,1.38763674796656,1.77177247851211,1.43189219630802,1.64507073556368
"17379949",4.24521507469515,3.69381314151928,3.39552065499443,3.82440819448131,3.98597355801309,3.88694820786317,3.81630619141416,3.04586894643789,3.55029358536984,3.87395311354337,4.3085691435954,3.3362936764495,3.59798979093883,3.3438885265314,3.49769009308986,3.68335901106752
